,situacao,anoConclusaoEnsinoMedio,chIntegralizadaMatriculada,chintegralizadaACE,chintegralizadaAF,chintegralizadaCF,chintegralizadaObrigatoria,chintegralizadaOptativa,chintegralizadaTotal,fracaoChIntegralizadaTotal,cidade,formaIngInstituicao,ira,sexo,tempoUniversidade,Cancelado,Reprovado por frequência,Reprovado por nota,DEC013_nota,DEE341_nota,DEE346_nota,DEE374_nota,DEE375_nota,DEC008_nota,DEC012_nota,DEC219_nota,DEE238_nota,DEE338_nota,DEE342_nota,DEE344_nota,DEE345_nota,DEC009_nota,DEC014_nota,DEC220_nota,DEE239_nota,DEE347_nota,DEE349_nota,DEE351_nota,DEE358_nota,DEE245_nota,DEE352_nota,DEE359_nota,DEE360_nota,DEC013_freq,DEE341_freq,DEE346_freq,DEE374_freq,DEE375_freq,DEC008_freq,DEC012_freq,DEC219_freq,DEE238_freq,DEE338_freq,DEE342_freq,DEE344_freq,DEE345_freq,DEC009_freq,DEC014_freq,DEC220_freq,DEE239_freq,DEE347_freq,DEE349_freq,DEE351_freq,DEE358_freq,DEE245_freq,DEE352_freq,DEE359_freq,DEE360_freq
0,0,2019,1740,0,0,0,1680,60,1740,54.1,Palotina,Vestibular,0.785,0,8.0,0.0,2.0,1.0,81.0,0.0,96.0,67.0,90.0,0.0,100.0,0.0,82.0,87.0,0.0,75.0,80.0,0.0,87.0,0.0,28.5,85.0,100.0,90.0,97.0,93.0,84.0,98.0,80.0,86.0,0.0,100.0,100.0,90.0,0.0,100.0,0.0,100.0,100.0,0.0,100.0,80.0,0.0,100.0,0.0,87.0,100.0,100.0,93.0,100.0,100.0,94.0,100.0,97.0
1,1,0,2376,0,0,0,2340,36,2376,73.3,Iporã,SISU,0.7094,0,17.0,13.0,4.0,3.0,0.0,70.0,70.0,0.0,100.0,96.0,0.0,0.0,0.0,25.33333333333333,70.0,0.0,0.0,0.0,90.0,0.0,53.5,81.0,90.0,76.0,5.0,89.0,89.0,0.0,71.0,0.0,100.0,100.0,0.0,100.0,94.0,0.0,0.0,0.0,93.66666666666669,86.0,0.0,0.0,0.0,100.0,0.0,93.0,91.0,100.0,94.0,27.5,94.0,93.0,0.0,92.0
2,1,2018,645,0,0,0,615,30,645,20.1,Toledo,SISU,0.4664,0,9.0,0.0,1.0,2.0,30.0,0.0,83.0,54.0,85.0,0.0,100.0,0.0,4.0,31.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,80.0,0.0,0.0,94.0,0.0,80.0,97.0,93.0,0.0,100.0,0.0,66.0,83.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,91.0,0.0,0.0
3,0,2016,390,0,0,0,120,0,120,3.7,Palotina,PSS ENEM,0.5,0,2.0,0.0,0.0,3.0,44.0,84.0,82.0,13.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,100.0,75.0,97.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0,2018,990,0,0,0,675,30,705,21.9,Cafelândia,Vestibular,0.5106,0,10.0,0.0,9.0,1.0,20.0,0.0,100.0,50.0,78.0,0.0,93.0,0.0,0.0,75.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,41.0,56.0,0.0,80.0,0.0,18.5,72.0,0.0,77.0,95.0,85.0,0.0,96.0,0.0,0.0,87.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,96.0,87.0,90.0,0.0,97.0,0.0,12.0
5,1,2018,600,0,0,0,600,0,600,18.7,Terra Roxa,Vestibular,0.55,0,7.0,0.0,3.0,4.0,71.0,0.0,57.0,53.0,20.0,0.0,94.0,0.0,15.5,31.0,80.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,80.0,0.0,0.0,92.0,80.0,0.0,0.0,100.0,0.0,97.0,100.0,90.0,0.0,96.0,0.0,61.5,93.0,97.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,96.0,0.0,0.0,100.0,97.0,0.0,0.0
6,0,2015,1755,0,0,0,1380,30,1410,43.9,Palotina,Vestibular,0.5445,0,8.0,10.0,3.0,7.0,0.0,0.0,90.0,50.0,0.0,38.0,0.0,0.0,70.0,0.0,46.5,70.0,35.5,50.0,0.0,0.0,40.0,47.0,0.0,75.0,73.0,10.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,50.0,0.0,0.0,100.0,0.0,88.5,94.0,43.5,80.0,0.0,0.0,88.0,95.0,0.0,94.0,100.0,33.5,0.0,0.0,0.0
7,0,2019,390,0,0,0,90,0,90,2.8,Palotina,Vestibular,0.3726,0,2.0,0.0,3.0,1.0,26.0,28.0,92.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,74.0,75.0,74.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1,2018,0,0,0,0,0,0,0,0.0,Assis Chateaubriand,Vestibular,0.0809,0,4.0,1.0,4.0,2.0,0.0,0.0,0.0,3.6666666666666665,12.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,26.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0,2016,270,0,0,0,30,0,30,0.9,Palotina,Vestibular,0.29,0,2.0,2.0,2.0,2.0,7.0,39.0,36.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,87.0,77.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0,2021,375,0,0,0,375,0,375,11.7,Nova Santa Rosa,Vestibular,0.5254,0,4.0,1.0,2.0,2.0,80.0,93.0,50.0,31.0,54.0,0.0,71.0,0.0,0.0,19.0,55.0,70.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,94.0,94.0,100.0,84.0,0.0,94.0,0.0,0.0,84.0,97.0,94.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0,0,1575,0,0,0,1275,30,1305,40.6,Iporã,SISU,0.7962,0,6.0,0.0,0.0,2.0,94.0,97.0,84.0,57.0,96.0,82.0,76.0,0.0,22.0,84.0,70.0,81.0,100.0,90.0,100.0,0.0,0.0,72.0,85.0,96.0,88.0,0.0,85.0,94.0,70.0,100.0,100.0,100.0,100.0,100.0,100.0,94.0,0.0,97.0,97.0,100.0,97.0,100.0,90.0,97.0,0.0,0.0,94.0,94.0,100.0,100.0,0.0,94.0,97.0,100.0
12,1,0,1296,0,0,0,1224,72,1296,40.0,Palotina,SISU,0.4374,0,12.0,0.0,9.0,3.0,95.0,45.5,45.5,53.5,54.0,73.0,64.0,0.0,74.0,50.0,75.0,0.0,0.0,0.0,72.0,0.0,3.0,0.0,77.0,0.0,0.0,59.0,77.0,0.0,12.5,100.0,95.0,95.0,90.0,95.0,94.0,100.0,0.0,100.0,95.0,95.0,0.0,0.0,0.0,88.0,0.0,42.5,18.0,100.0,0.0,0.0,94.0,95.0,0.0,44.0
13,1,2018,0,0,0,0,0,0,0,0.0,Palotina,Vestibular,0.0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0,2021,840,0,0,0,555,0,555,17.3,Palotina,SISU,0.4936,0,4.0,0.0,5.0,3.0,74.0,62.0,89.0,50.0,32.0,40.0,9.0,0.0,3.0,18.0,50.0,52.0,33.0,0.0,0.0,0.0,0.0,73.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,78.0,100.0,94.0,94.0,97.0,54.0,37.0,0.0,94.0,48.5,100.0,94.0,40.0,0.0,0.0,0.0,0.0,100.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0
15,1,2015,0,0,0,0,0,0,0,0.0,Palotina,Vestibular,0.0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0,0,555,0,0,0,240,0,240,7.5,Palotina,SISU,0.3487,0,4.0,1.0,3.0,10.0,23.0,9.0,22.0,21.0,40.0,80.0,57.0,0.0,0.0,0.0,15.0,60.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,71.5,100.0,87.0,100.0,87.0,87.0,94.0,0.0,90.0,48.5,47.0,94.0,10.0,0.0,84.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0
17,1,0,0,0,0,0,0,0,0,0.0,Marechal Cândido Rondon,SISU,0.0063,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,1,2019,0,0,0,0,0,0,0,0.0,Palotina,Vestibular,0.0,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,1,2017,0,0,0,0,0,0,0,0.0,Maripá,Vestibular,0.0981,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0,2019,780,0,0,0,555,0,555,17.3,Marechal Cândido Rondon,Vestibular,0.4827,0,8.0,4.0,12.0,2.0,41.0,85.0,36.0,8.5,85.0,85.0,7.666666666666667,0.0,0.0,17.666666666666668,80.0,70.0,11.5,90.0,0.0,0.0,0.0,71.0,70.0,29.0,0.0,0.0,70.0,0.0,0.0,44.66666666666666,90.0,36.66666666666666,33.5,87.0,100.0,40.333333333333336,0.0,54.0,53.333333333333336,90.0,94.0,10.5,90.0,0.0,0.0,0.0,87.0,100.0,74.0,0.0,0.0,94.0,0.0,0.0
21,0,2018,30,0,0,0,0,0,0,0.0,Palotina,PSS ENEM,0.0063,0,2.0,0.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,67.0,40.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1,0,1860,0,0,0,1830,30,1860,57.9,Palotina,SISU,0.0,0,10.0,3.0,0.0,2.0,74.0,0.0,94.0,91.0,95.0,70.0,87.0,0.0,59.0,83.0,90.0,0.0,0.0,0.0,83.0,0.0,70.0,78.0,63.0,0.0,90.0,77.0,85.0,0.0,87.0,100.0,0.0,100.0,100.0,100.0,83.0,100.0,0.0,88.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,96.0,0.0,97.0,100.0,100.0,0.0,95.0
23,1,0,1422,0,0,0,1422,0,1422,43.9,Cafelândia,SISU,0.5289,0,10.0,5.0,2.0,6.0,71.0,50.0,50.0,57.0,51.5,96.0,95.0,0.0,54.66666666666666,51.0,72.0,0.0,0.0,0.0,0.0,0.0,80.0,56.0,61.0,35.0,55.0,81.0,90.0,0.0,70.0,100.0,97.0,97.0,100.0,97.5,77.0,96.0,0.0,95.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,94.0,96.0,69.0,95.0,94.0,97.0,0.0,91.0
24,1,0,180,0,0,0,180,0,180,5.6,Palotina,Aproveitamento Curso Superior,0.3785,0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0,2018,435,0,0,0,165,0,165,5.1,Palotina,PSS ENEM,0.642,1,2.0,4.0,0.0,1.0,67.0,77.0,71.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,94.0,79.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,1,0,165,0,0,0,165,0,165,5.1,Sapucaia do Sul,SISU,0.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0,2018,375,0,0,0,165,0,165,5.1,Palotina,Vestibular,0.3616,0,2.0,1.0,1.0,1.0,51.0,70.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,94.0,87.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,1,2005,465,0,0,0,435,30,465,14.5,Palotina,Vestibular,0.6656,0,7.0,0.0,0.0,0.0,85.0,0.0,0.0,82.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,90.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,93.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0
29,1,2020,0,0,0,0,0,0,0,0.0,Curitiba,Vestibular,0.0042,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0,2019,465,0,0,0,465,0,465,14.5,Palotina,Vestibular,0.3501,0,8.0,2.0,10.0,5.0,64.0,81.0,40.5,74.0,70.0,90.0,72.0,0.0,17.0,3.0,10.0,73.0,13.0,84.0,0.0,0.0,0.0,0.0,2.5,10.0,0.0,0.0,0.0,0.0,0.0,100.0,87.0,50.0,100.0,78.0,100.0,100.0,0.0,97.0,42.0,77.0,80.0,40.0,80.0,0.0,0.0,0.0,20.0,3.5,60.0,0.0,0.0,0.0,0.0,0.0
31,1,0,648,0,0,0,0,0,0,0.0,Palotina,SISU,0.542,0,11.0,1.0,4.0,3.0,82.0,73.0,73.0,57.5,63.0,0.0,70.0,0.0,0.0,27.0,18.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,91.0,0.0,0.0,88.0,97.0,97.0,82.5,100.0,0.0,100.0,0.0,100.0,75.5,74.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,100.0,0.0,0.0,44.0,95.0,0.0,0.0
32,0,2016,2820,150,0,0,2235,60,2295,71.4,Palotina,Vestibular,0.8323,0,10.0,7.0,0.0,0.0,42.0,0.0,86.0,79.0,90.0,100.0,100.0,0.0,54.0,81.0,79.0,0.0,37.5,100.0,97.0,0.0,96.0,41.5,85.0,80.0,90.0,77.0,90.0,0.0,70.0,93.0,0.0,82.0,100.0,100.0,94.0,100.0,0.0,100.0,96.0,95.0,0.0,47.0,94.0,97.0,0.0,100.0,50.0,100.0,93.0,90.0,94.0,97.0,0.0,100.0
33,0,2019,0,0,0,0,0,0,0,0.0,Maripá,SISU,0.0284,1,2.0,0.0,6.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,60.0,24.0,54.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0,2022,465,0,0,0,135,0,135,4.2,Curitiba,SISU,0.4847,0,2.0,0.0,0.0,3.0,59.0,32.0,98.0,4.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,100.0,75.0,97.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
